"Instrument","Qty.","Avg. cost","LTP","Invested","Cur. val","P&L","Net chg.","Day chg.",""
"ADANIGREEN",23,1132.44,1519,26046.2,34937,8890.8,34.13,-1.95,""
"HDFCBANK",6,716.85,829.3,4301.1,4975.8,674.7,15.69,-0.07,""
"IRFC",27,146.85,89.92,3964.95,2427.84,-1537.11,-38.77,-0.35,""
"JSWENERGY",1,728.7,543.8,728.7,543.8,-184.9,-25.37,-0.74,""
"NHPC",13,89.95,78.89,1169.35,1025.57,-143.78,-12.3,-1.2,""
"TATASTEEL",30,164.85,189.79,4945.5,5693.7,748.2,15.13,-0.57,""
"TMCV",10,239.54,425,2395.44,4250,1854.57,77.42,-1.17,""
"TMPV",10,529.46,342.3,5294.57,3423,-1871.56,-35.35,-1.37,""
"UJJIVANSFB",6,44.82,61.62,268.92,369.72,100.8,37.48,3.08,""
"VIKASLIFE",824,2.16,1.45,1782.86,1194.8,-588.06,-32.98,1.4,""
