"Instrument","Qty.","Avg. cost","LTP","Invested","Cur. val","P&L","Net chg.","Day chg.",""
"ADANIGREEN",23,1132.44,856.1,26046.2,19690.3,-6355.9,-24.4,0.2,""
"HDFCBANK",6,716.85,849.45,4301.1,5096.7,795.6,18.5,1.04,""
"IRFC",27,146.85,100.7,3964.95,2718.9,-1246.05,-31.43,3.12,""
"JPASSOCIAT",30,16.25,2.43,487.61,72.9,-414.71,-85.05,4.74,""
"JSWENERGY",1,728.7,488.7,728.7,488.7,-240,-32.94,2.05,""
"NHPC",13,89.95,73.04,1169.35,949.52,-219.83,-18.8,-0.04,""
"TATASTEEL",30,164.85,195.05,4945.5,5851.5,906,18.32,2.09,""
"TMCV",10,239.54,459.15,2395.44,4591.5,2196.06,91.68,2.24,""
"TMPV",10,529.46,345.2,5294.57,3452,-1842.56,-34.8,3.98,""
"UJJIVANSFB",6,44.82,56.04,268.92,336.24,67.32,25.03,4.65,""
"VIKASLIFE",159,4.94,1.32,785.36,209.88,-575.48,-73.28,-1.49,""
