"Instrument","Qty.","Avg. cost","LTP","Invested","Cur. val","P&L","Net chg.","Day chg.",""
"CEATLTD",6,3695,3330.6,22170,19983.6,-2186.4,-9.86,0.42,""
"DMART",7,4064,3770,28448,26390,-2058,-7.23,0.19,""
"IRFC",27,146.85,83.4,3964.95,2251.8,-1713.15,-43.21,0.91,""
"JSWENERGY",1,728.7,539.85,728.7,539.85,-188.85,-25.92,0.06,""
"NHPC",37,81.51,76.25,3015.91,2821.25,-194.66,-6.45,-0.26,""
"RELIANCE",7,1280,1322,8960,9254,294,3.28,1.5,""
"TATASTEEL",30,164.85,188.79,4945.5,5663.7,718.2,14.52,2.49,""
"TMCV",10,239.54,458.1,2395.44,4581,2185.57,91.24,-0.59,""
"TMPV",10,529.46,311.5,5294.57,3115,-2179.56,-41.17,-0.16,""
"UJJIVANSFB",6,44.82,64.43,268.92,386.58,117.66,43.75,2.29,""
"VIKASLIFE",1724,1.69,1.3,2916.86,2241.2,-675.66,-23.16,-0.76,""
