"Instrument","Qty.","Avg. cost","LTP","Invested","Cur. val","P&L","Net chg.","Day chg.",""
"ADANIGREEN",23,1132.44,1096.05,26046.2,25209.15,-837.05,-3.21,0.98,""
"HDFCBANK",6,716.85,809.9,4301.1,4859.4,558.3,12.98,1.91,""
"IRFC",27,146.85,101.76,3964.95,2747.52,-1217.43,-30.7,2.82,""
"JSWENERGY",1,728.7,528.2,728.7,528.2,-200.5,-27.51,3.65,""
"NHPC",13,89.95,80.58,1169.35,1047.54,-121.81,-10.42,3.76,""
"TATASTEEL",30,164.85,208.8,4945.5,6264,1318.5,26.66,1.09,""
"TMCV",10,239.54,435.2,2395.44,4352,1956.57,81.68,1.26,""
"TMPV",10,529.46,357.9,5294.57,3579,-1715.57,-32.4,3.59,""
"UJJIVANSFB",6,44.82,58.53,268.92,351.18,82.26,30.59,-3,""
"VIKASLIFE",159,4.94,1.63,785.36,259.17,-526.19,-67,3.16,""
