"Instrument","Qty.","Avg. cost","LTP","Invested","Cur. val","P&L","Net chg.","Day chg.",""
"ADANIGREEN",23,1132.44,1485.7,26046.2,34171.1,8124.9,31.19,2.15,""
"HDFCBANK",6,716.85,772.4,4301.1,4634.4,333.3,7.75,3.73,""
"IRFC",27,146.85,95.89,3964.95,2589.03,-1375.92,-34.7,2.74,""
"JSWENERGY",1,728.7,559.35,728.7,559.35,-169.35,-23.24,1.29,""
"NHPC",13,89.95,73.77,1169.35,959.01,-210.34,-17.99,2.27,""
"TATASTEEL",30,164.85,197.85,4945.5,5935.5,990,20.02,1.98,""
"TMCV",10,239.54,391.35,2395.44,3913.5,1518.07,63.37,9.19,""
"TMPV",10,529.46,390,5294.57,3900,-1394.56,-26.34,3.75,""
"UJJIVANSFB",6,44.82,54.76,268.92,328.56,59.64,22.18,2.82,""
"VIKASLIFE",159,4.94,1.45,785.36,230.55,-554.81,-70.64,0.69,""
