"Instrument","Qty.","Avg. cost","LTP","Invested","Cur. val","P&L","Net chg.","Day chg.",""
"CEATLTD",6,3695,3345,22170,20070,-2100,-9.47,-0.32,""
"DMART",7,4064,3834.2,28448,26839.4,-1608.6,-5.65,1.23,""
"IRFC",27,146.85,80,3964.95,2160,-1804.95,-45.52,0.13,""
"JSWENERGY",1,728.7,507.3,728.7,507.3,-221.4,-30.38,-0.57,""
"MOBAVENUE",34,291.71,302,9918.05,10268,349.95,3.53,5.59,""
"NHPC",37,81.51,76,3015.91,2812,-203.91,-6.76,-0.33,""
"RELIANCE",7,1280,1226,8960,8582,-378,-4.22,0.56,""
"TMPV",10,529.46,290.3,5294.57,2903,-2391.56,-45.17,-1.79,""
"VIKASLIFE",1724,1.69,1.24,2916.86,2137.76,-779.1,-26.71,-0.8,""
