"Instrument","Qty.","Avg. cost","LTP","Invested","Cur. val","P&L","Net chg.","Day chg.",""
"ADANIGREEN",23,1132.44,943.3,26046.2,21695.9,-4350.3,-16.7,-0.36,""
"HDFCBANK",6,716.85,936.4,4301.1,5618.4,1317.3,30.63,-0.28,""
"IRFC",27,146.85,122.6,3964.95,3310.2,-654.75,-16.51,1.07,""
"JPASSOCIAT",30,16.25,3.26,487.61,97.8,-389.81,-79.94,-4.96,""
"JSWENERGY",1,728.7,498.7,728.7,498.7,-230,-31.56,1.71,""
"NHPC",13,89.95,82.76,1169.35,1075.88,-93.47,-7.99,0.39,""
"TATASTEEL",30,164.85,183.3,4945.5,5499,553.5,11.19,2.75,""
"TMCV",10,239.54,424.8,2395.44,4248,1852.57,77.34,-1.63,""
"TMPV",10,529.46,351.8,5294.57,3518,-1776.56,-33.55,-0.71,""
"UJJIVANSFB",6,44.82,58.26,268.92,349.56,80.64,29.99,-1.84,""
"VIKASLIFE",159,4.94,1.75,785.36,278.25,-507.11,-64.57,-1.13,""
