"Instrument","Qty.","Avg. cost","LTP","Invested","Cur. val","P&L","Net chg.","Day chg.",""
"CEATLTD",6,3695,3432.2,22170,20593.2,-1576.8,-7.11,0.91,""
"DMART",7,4064,3834.8,28448,26843.6,-1604.4,-5.64,1.53,""
"IRFC",27,146.85,81,3964.95,2187,-1777.95,-44.84,1.25,""
"JSWENERGY",1,728.7,521,728.7,521,-207.7,-28.5,0.58,""
"MOBAVENUE",34,291.71,291.6,9918.05,9914.4,-3.65,-0.04,3.02,""
"NHPC",37,81.51,76.58,3015.91,2833.46,-182.45,-6.05,0.7,""
"RELIANCE",7,1280,1247.05,8960,8729.35,-230.65,-2.57,0.41,""
"TMPV",10,529.46,300.5,5294.57,3005,-2289.56,-43.24,0.15,""
"VIKASLIFE",1724,1.69,1.27,2916.86,2189.48,-727.38,-24.94,0,""
