"Instrument","Qty.","Avg. cost","LTP","Invested","Cur. val","P&L","Net chg.","Day chg.",""
"ADANIGREEN",23,1132.44,903.25,26046.2,20774.75,-5271.45,-20.24,-4.74,""
"HDFCBANK",6,716.85,879.4,4301.1,5276.4,975.3,22.68,-0.94,""
"IRFC",27,146.85,99.45,3964.95,2685.15,-1279.8,-32.28,-3.96,""
"JPASSOCIAT",30,16.25,2.73,487.61,81.9,-405.71,-83.2,-4.88,""
"JSWENERGY",1,728.7,481.3,728.7,481.3,-247.4,-33.95,-1.32,""
"NHPC",13,89.95,73.13,1169.35,950.69,-218.66,-18.7,-2.96,""
"TATASTEEL",30,164.85,210.9,4945.5,6327,1381.5,27.93,-0.68,""
"TMCV",10,239.54,498,2395.44,4980,2584.57,107.9,-1.44,""
"TMPV",10,529.46,370.5,5294.57,3705,-1589.56,-30.02,-3.3,""
"UJJIVANSFB",6,44.82,57.28,268.92,343.68,74.76,27.8,-1.39,""
"VIKASLIFE",159,4.94,1.4,785.36,222.6,-562.76,-71.66,-4.11,""
