"Instrument","Qty.","Avg. cost","LTP","Invested","Cur. val","P&L","Net chg.","Day chg.",""
"ADANIGREEN",23,1132.44,1025.9,26046.2,23595.7,-2450.5,-9.41,1.06,""
"HDFCBANK",6,716.85,990.75,4301.1,5944.5,1643.4,38.21,-0.1,""
"IRFC",27,146.85,125.79,3964.95,3396.33,-568.62,-14.34,0.94,""
"JSWENERGY",1,728.7,502,728.7,502,-226.7,-31.11,4.05,""
"NHPC",13,89.95,79.56,1169.35,1034.28,-135.07,-11.55,0.43,""
"TATASTEEL",30,164.85,181.89,4945.5,5456.7,511.2,10.34,1.01,""
"TMCV",10,239.54,427.75,2395.44,4277.5,1882.07,78.57,2.95,""
"TMPV",10,529.46,367.4,5294.57,3674,-1620.57,-30.61,-0.03,""
"UJJIVANSFB",6,44.82,53.4,268.92,320.4,51.48,19.14,0.77,""
"VIKASLIFE",159,4.94,1.79,785.36,284.61,-500.75,-63.76,1.13,""
