"Instrument","Qty.","Avg. cost","LTP","Invested","Cur. val","P&L","Net chg.","Day chg.",""
"ADANIGREEN",23,1132.44,1395,26046.2,32085,6038.8,23.18,0.87,""
"IRFC",27,146.85,90.15,3964.95,2434.05,-1530.9,-38.61,1.09,""
"JSWENERGY",1,728.7,569,728.7,569,-159.7,-21.92,2.59,""
"NHPC",13,89.95,79.25,1169.35,1030.25,-139.1,-11.9,0.66,""
"RELIANCE",7,1280,1319,8960,9233,273,3.05,0.86,""
"TATASTEEL",30,164.85,189.1,4945.5,5673,727.5,14.71,-0.37,""
"TMCV",10,239.54,452.45,2395.44,4524.5,2129.07,88.88,3.55,""
"TMPV",10,529.46,346.45,5294.57,3464.5,-1830.06,-34.56,1.97,""
"UJJIVANSFB",6,44.82,71.14,268.92,426.84,157.92,58.72,-0.88,""
"VIKASLIFE",824,2.16,1.28,1782.86,1054.72,-728.14,-40.84,0,""
