"Instrument","Qty.","Avg. cost","LTP","Invested","Cur. val","P&L","Net chg.","Day chg.",""
"ADANIGREEN",23,1132.44,851.95,26046.2,19594.85,-6451.35,-24.77,5.58,""
"HDFCBANK",6,716.85,742.15,4301.1,4452.9,151.8,3.53,1.41,""
"IRFC",27,146.85,91.96,3964.95,2482.92,-1482.03,-37.38,5.4,""
"JSWENERGY",1,728.7,483.95,728.7,483.95,-244.75,-33.59,2.46,""
"NHPC",13,89.95,75.39,1169.35,980.07,-189.28,-16.19,2.27,""
"TATASTEEL",30,164.85,194.6,4945.5,5838,892.5,18.05,1.43,""
"TMCV",10,239.54,396.05,2395.44,3960.5,1565.07,65.34,0.32,""
"TMPV",10,529.46,302.9,5294.57,3029,-2265.57,-42.79,2.24,""
"UJJIVANSFB",6,44.82,53.59,268.92,321.54,52.62,19.57,6.06,""
"VIKASLIFE",159,4.94,1.24,785.36,197.16,-588.2,-74.9,16.98,""
