"Instrument","Qty.","Avg. cost","LTP","Invested","Cur. val","P&L","Net chg.","Day chg.",""
"ADANIGREEN",23,1132.44,981.35,26046.2,22571.05,-3475.15,-13.34,1.1,""
"HDFCBANK",6,716.85,910.7,4301.1,5464.2,1163.1,27.04,-1.42,""
"IRFC",27,146.85,109.44,3964.95,2954.88,-1010.07,-25.47,-2.19,""
"JPASSOCIAT",30,16.25,3.06,487.61,91.8,-395.81,-81.17,0,""
"JSWENERGY",1,728.7,490.25,728.7,490.25,-238.45,-32.72,0.79,""
"NHPC",13,89.95,75.77,1169.35,985.01,-184.34,-15.76,2.24,""
"TATASTEEL",30,164.85,209.13,4945.5,6273.9,1328.4,26.86,0.48,""
"TMCV",10,239.54,475.55,2395.44,4755.5,2360.07,98.52,-0.91,""
"TMPV",10,529.46,377.55,5294.57,3775.5,-1519.06,-28.69,-0.63,""
"UJJIVANSFB",6,44.82,60.74,268.92,364.44,95.52,35.52,-1.7,""
"VIKASLIFE",159,4.94,1.49,785.36,236.91,-548.45,-69.83,-5.7,""
