"Instrument","Qty.","Avg. cost","LTP","Invested","Cur. val","P&L","Net chg.","Day chg.",""
"ADANIGREEN",23,1132.44,1536.3,26046.2,35334.9,9288.7,35.66,3.33,""
"HDFCBANK",6,716.85,824.25,4301.1,4945.5,644.4,14.98,0.8,""
"IRFC",27,146.85,89.88,3964.95,2426.76,-1538.19,-38.79,1.99,""
"JSWENERGY",1,728.7,553.45,728.7,553.45,-175.25,-24.05,3.75,""
"NHPC",13,89.95,79.82,1169.35,1037.66,-131.69,-11.26,1.54,""
"TATASTEEL",30,164.85,191.19,4945.5,5735.7,790.2,15.98,1.75,""
"TMCV",10,239.54,422.5,2395.44,4225,1829.57,76.38,0.63,""
"TMPV",10,529.46,338.1,5294.57,3381,-1913.56,-36.14,1.93,""
"UJJIVANSFB",6,44.82,65.27,268.92,391.62,122.7,45.63,4.3,""
"VIKASLIFE",824,2.16,1.39,1782.86,1145.36,-637.5,-35.76,-1.42,""
