"Instrument","Qty.","Avg. cost","LTP","Invested","Cur. val","P&L","Net chg.","Day chg.",""
"ADANIGREEN",23,1132.44,997.65,26046.2,22945.95,-3100.25,-11.9,0.29,""
"HDFCBANK",6,716.85,920.6,4301.1,5523.6,1222.5,28.42,-0.7,""
"IRFC",27,146.85,113.53,3964.95,3065.31,-899.64,-22.69,-0.7,""
"JPASSOCIAT",30,16.25,3.52,487.61,105.6,-382.01,-78.34,4.76,""
"JSWENERGY",1,728.7,479.5,728.7,479.5,-249.2,-34.2,-0.59,""
"NHPC",13,89.95,76.5,1169.35,994.5,-174.85,-14.95,-1.39,""
"TATASTEEL",30,164.85,208.1,4945.5,6243,1297.5,26.24,0.22,""
"TMCV",10,239.54,498.15,2395.44,4981.5,2586.06,107.96,2.25,""
"TMPV",10,529.46,383.45,5294.57,3834.5,-1460.06,-27.58,-0.32,""
"UJJIVANSFB",6,44.82,62.6,268.92,375.6,106.68,39.67,-0.19,""
"VIKASLIFE",159,4.94,1.61,785.36,255.99,-529.37,-67.4,-2.42,""
