"Instrument","Qty.","Avg. cost","LTP","Invested","Cur. val","P&L","Net chg.","Day chg.",""
"CEATLTD",6,3695,3605.4,22170,21632.4,-537.6,-2.42,-0.09,""
"DMART",7,4064,3984,28448,27888,-560,-1.97,-0.6,""
"IRFC",27,146.85,86.11,3964.95,2324.97,-1639.98,-41.36,-1.08,""
"JSWENERGY",1,728.7,548.1,728.7,548.1,-180.6,-24.78,-1.33,""
"NHPC",37,81.51,76.7,3015.91,2837.9,-178.01,-5.9,0.07,""
"RELIANCE",7,1280,1319.4,8960,9235.8,275.8,3.08,0.08,""
"TATASTEEL",30,164.85,185.2,4945.5,5556,610.5,12.34,-0.48,""
"TMCV",10,239.54,471.65,2395.44,4716.5,2321.06,96.9,0.27,""
"TMPV",10,529.46,323,5294.57,3230,-2064.56,-38.99,-2.28,""
"UJJIVANSFB",6,44.82,72.33,268.92,433.98,165.06,61.38,0.17,""
"VIKASLIFE",1724,1.69,1.22,2916.86,2103.28,-813.58,-27.89,-1.61,""
