"Instrument","Qty.","Avg. cost","LTP","Invested","Cur. val","P&L","Net chg.","Day chg.",""
"ADANIGREEN",23,1132.44,1000.1,26046.2,23002.3,-3043.9,-11.69,-1.64,""
"HDFCBANK",6,716.85,924.7,4301.1,5548.2,1247.1,28.99,-0.11,""
"IRFC",27,146.85,113.31,3964.95,3059.37,-905.58,-22.84,0.28,""
"JPASSOCIAT",30,16.25,3.26,487.61,97.8,-389.81,-79.94,-2.98,""
"JSWENERGY",1,728.7,486.25,728.7,486.25,-242.45,-33.27,-0.23,""
"NHPC",13,89.95,76.34,1169.35,992.42,-176.93,-15.13,-0.48,""
"TATASTEEL",30,164.85,209,4945.5,6270,1324.5,26.78,2.9,""
"TMCV",10,239.54,488.8,2395.44,4888,2492.57,104.05,-0.19,""
"TMPV",10,529.46,382.7,5294.57,3827,-1467.56,-27.72,-0.04,""
"UJJIVANSFB",6,44.82,63.11,268.92,378.66,109.74,40.81,0.78,""
"VIKASLIFE",159,4.94,1.61,785.36,255.99,-529.37,-67.4,-0.62,""
