"Instrument","Qty.","Avg. cost","LTP","Invested","Cur. val","P&L","Net chg.","Day chg.",""
"ADANIGREEN",23,1132.44,1014.7,26046.2,23338.1,-2708.1,-10.4,-0.22,""
"HDFCBANK",6,716.85,997.2,4301.1,5983.2,1682.1,39.11,0.06,""
"IRFC",27,146.85,121.45,3964.95,3279.15,-685.8,-17.3,0.04,""
"JSWENERGY",1,728.7,484,728.7,484,-244.7,-33.58,-0.34,""
"NHPC",13,89.95,77.77,1169.35,1011.01,-158.34,-13.54,-0.59,""
"TATASTEEL",30,164.85,170,4945.5,5100,154.5,3.12,-0.53,""
"TMCV",10,239.54,408.75,2395.44,4087.5,1692.07,70.64,-4.07,""
"TMPV",10,529.46,359.2,5294.57,3592,-1702.56,-32.16,-1.11,""
"UJJIVANSFB",6,44.82,53,268.92,318,49.08,18.25,-0.51,""
"VIKASLIFE",159,4.94,1.85,785.36,294.15,-491.21,-62.55,1.09,""
