"Instrument","Qty.","Avg. cost","LTP","Invested","Cur. val","P&L","Net chg.","Day chg.",""
"ADANIGREEN",23,1132.44,1227,26046.2,28221,2174.8,8.35,1.02,""
"HDFCBANK",6,716.85,785.5,4301.1,4713,411.9,9.58,0.13,""
"IRFC",27,146.85,103.92,3964.95,2805.84,-1159.11,-29.23,-1.09,""
"JSWENERGY",1,728.7,544.95,728.7,544.95,-183.75,-25.22,-2.93,""
"NHPC",13,89.95,80.7,1169.35,1049.1,-120.25,-10.28,-0.96,""
"TATASTEEL",30,164.85,210,4945.5,6300,1354.5,27.39,-0.45,""
"TMCV",10,239.54,424.55,2395.44,4245.5,1850.07,77.23,-1.69,""
"TMPV",10,529.46,350,5294.57,3500,-1794.56,-33.89,-0.55,""
"UJJIVANSFB",6,44.82,56.79,268.92,340.74,71.82,26.71,-2.94,""
"VIKASLIFE-BE",159,4.94,1.59,785.36,252.81,-532.55,-67.81,-2.45,""
