"Instrument","Qty.","Avg. cost","LTP","Invested","Cur. val","P&L","Net chg.","Day chg.",""
"ADANIGREEN",23,1132.44,1010,26046.2,23230,-2816.2,-10.81,0.73,""
"HDFCBANK",6,716.85,990.9,4301.1,5945.4,1644.3,38.23,-0.08,""
"IRFC",27,146.85,124.6,3964.95,3364.2,-600.75,-15.15,-1.46,""
"JSWENERGY",1,728.7,469.85,728.7,469.85,-258.85,-35.52,-0.28,""
"NHPC",13,89.95,78.58,1169.35,1021.54,-147.81,-12.64,2.33,""
"TATASTEEL",30,164.85,175.8,4945.5,5274,328.5,6.64,2.03,""
"TMCV",10,239.54,409.7,2395.44,4097,1701.57,71.03,0.04,""
"TMPV",10,529.46,361.5,5294.57,3615,-1679.56,-31.72,0.81,""
"UJJIVANSFB",6,44.82,51.91,268.92,311.46,42.54,15.82,0.29,""
"VIKASLIFE",159,4.94,1.76,785.36,279.84,-505.52,-64.37,-0.56,""
