"Instrument","Qty.","Avg. cost","LTP","Invested","Cur. val","P&L","Net chg.","Day chg.",""
"ADANIGREEN",23,1132.44,1378.05,26046.2,31695.15,5648.95,21.69,-2.67,""
"HDFCBANK",6,716.85,767.8,4301.1,4606.8,305.7,7.11,-0.23,""
"IRFC",27,146.85,99,3964.95,2673,-1291.95,-32.58,-1.25,""
"JSWENERGY",1,728.7,515.05,728.7,515.05,-213.65,-29.32,0.44,""
"NHPC",13,89.95,76.79,1169.35,998.27,-171.08,-14.63,-2.12,""
"TATASTEEL",30,164.85,216.8,4945.5,6504,1558.5,31.51,-1.97,""
"TMCV",10,239.54,378.15,2395.44,3781.5,1386.06,57.86,-0.36,""
"TMPV",10,529.46,356.55,5294.57,3565.5,-1729.06,-32.66,5.22,""
"UJJIVANSFB",6,44.82,55.83,268.92,334.98,66.06,24.56,-1.15,""
"VIKASLIFE",159,4.94,1.53,785.36,243.27,-542.09,-69.02,0,""
