"Instrument","Qty.","Avg. cost","LTP","Invested","Cur. val","P&L","Net chg.","Day chg.",""
"ADANIGREEN",23,1132.44,925.35,26046.2,21283.05,-4763.15,-18.29,0.46,""
"HDFCBANK",6,716.85,772.05,4301.1,4632.3,331.2,7.7,0.11,""
"IRFC",27,146.85,92.93,3964.95,2509.11,-1455.84,-36.72,0.18,""
"JSWENERGY",1,728.7,487.8,728.7,487.8,-240.9,-33.06,-1.79,""
"NHPC",13,89.95,75.67,1169.35,983.71,-185.64,-15.88,-0.64,""
"TATASTEEL",30,164.85,198.05,4945.5,5941.5,996,20.14,0.99,""
"TMCV",10,239.54,396.05,2395.44,3960.5,1565.07,65.34,1.21,""
"TMPV",10,529.46,308.7,5294.57,3087,-2207.56,-41.69,0.42,""
"UJJIVANSFB",6,44.82,56.43,268.92,338.58,69.66,25.9,-0.44,""
"VIKASLIFE",159,4.94,1.5,785.36,238.5,-546.86,-69.63,12.78,""
