"Instrument","Qty.","Avg. cost","LTP","Invested","Cur. val","P&L","Net chg.","Day chg.",""
"ADANIGREEN",23,1132.44,1029.65,26046.2,23681.95,-2364.25,-9.08,11.27,""
"HDFCBANK",6,716.85,816.1,4301.1,4896.6,595.5,13.85,5.71,""
"IRFC",27,146.85,98.99,3964.95,2672.73,-1292.22,-32.59,6.52,""
"JSWENERGY",1,728.7,503.5,728.7,503.5,-225.2,-30.9,3.16,""
"NHPC",13,89.95,76.7,1169.35,997.1,-172.25,-14.73,1.36,""
"TATASTEEL",30,164.85,204.18,4945.5,6125.4,1179.9,23.86,3.05,""
"TMCV",10,239.54,433.75,2395.44,4337.5,1942.07,81.07,9.51,""
"TMPV",10,529.46,334.75,5294.57,3347.5,-1947.06,-36.77,8.44,""
"UJJIVANSFB",6,44.82,58.44,268.92,350.64,81.72,30.39,3.56,""
"VIKASLIFE",159,4.94,1.61,785.36,255.99,-529.37,-67.4,7.33,""
