"Instrument","Qty.","Avg. cost","LTP","Invested","Cur. val","P&L","Net chg.","Day chg.",""
"ADANIGREEN",23,1132.44,1085.45,26046.2,24965.35,-1080.85,-4.15,0.01,""
"HDFCBANK",6,716.85,794.05,4301.1,4764.3,463.2,10.77,-2.02,""
"IRFC",27,146.85,98.92,3964.95,2670.84,-1294.11,-32.64,-1.34,""
"JSWENERGY",1,728.7,509.6,728.7,509.6,-219.1,-30.07,4.24,""
"NHPC",13,89.95,77.65,1169.35,1009.45,-159.9,-13.67,0.71,""
"TATASTEEL",30,164.85,206.39,4945.5,6191.7,1246.2,25.2,-0.11,""
"TMCV",10,239.54,429.8,2395.44,4298,1902.57,79.42,-3.32,""
"TMPV",10,529.46,345.5,5294.57,3455,-1839.56,-34.74,0.85,""
"UJJIVANSFB",6,44.82,60.34,268.92,362.04,93.12,34.63,0,""
"VIKASLIFE",159,4.94,1.58,785.36,251.22,-534.14,-68.01,-3.07,""
