"Instrument","Qty.","Avg. cost","LTP","Invested","Cur. val","P&L","Net chg.","Day chg.",""
"ADANIGREEN",23,1132.44,1353,26046.2,31119,5072.8,19.48,1.62,""
"HDFCBANK",6,716.85,796.6,4301.1,4779.6,478.5,11.13,3.11,""
"IRFC",27,146.85,106.74,3964.95,2881.98,-1082.97,-27.31,0.87,""
"JSWENERGY",1,728.7,567.9,728.7,567.9,-160.8,-22.07,1.06,""
"NHPC",13,89.95,83.65,1169.35,1087.45,-81.9,-7,0.55,""
"TATASTEEL",30,164.85,215.47,4945.5,6464.1,1518.6,30.71,1.96,""
"TMCV",10,239.54,429.3,2395.44,4293,1897.57,79.22,5.57,""
"TMPV",10,529.46,358,5294.57,3580,-1714.56,-32.38,5.23,""
"UJJIVANSFB",6,44.82,62.68,268.92,376.08,107.16,39.85,1.47,""
"VIKASLIFE",159,4.94,1.6,785.36,254.4,-530.96,-67.61,1.27,""
