"Instrument","Qty.","Avg. cost","LTP","Invested","Cur. val","P&L","Net chg.","Day chg.",""
"ADANIGREEN",23,1132.44,863.1,26046.2,19851.3,-6194.9,-23.78,0.96,""
"HDFCBANK",6,716.85,780.45,4301.1,4682.7,381.6,8.87,-2.41,""
"IRFC",27,146.85,94.7,3964.95,2556.9,-1408.05,-35.51,-0.37,""
"JSWENERGY",1,728.7,508.3,728.7,508.3,-220.4,-30.25,0.46,""
"NHPC",13,89.95,76.8,1169.35,998.4,-170.95,-14.62,0.73,""
"TATASTEEL",30,164.85,196.7,4945.5,5901,955.5,19.32,3.23,""
"TMCV",10,239.54,419.6,2395.44,4196,1800.57,75.17,0.52,""
"TMPV",10,529.46,314.1,5294.57,3141,-2153.56,-40.68,1.55,""
"UJJIVANSFB",6,44.82,53.36,268.92,320.16,51.24,19.05,1.66,""
"VIKASLIFE",159,4.94,1.28,785.36,203.52,-581.84,-74.09,-1.54,""
