"Instrument","Qty.","Avg. cost","LTP","Invested","Cur. val","P&L","Net chg.","Day chg.",""
"CEATLTD",6,3695,3682.15,22170,22092.9,-77.1,-0.35,-0.4,""
"IRFC",27,146.85,87.6,3964.95,2365.2,-1599.75,-40.35,-0.9,""
"JSWENERGY",1,728.7,560,728.7,560,-168.7,-23.15,0.25,""
"NHPC",13,89.95,76.9,1169.35,999.7,-169.65,-14.51,-1.41,""
"RELIANCE",7,1280,1310,8960,9170,210,2.34,-0.53,""
"TATASTEEL",30,164.85,183.4,4945.5,5502,556.5,11.25,-0.81,""
"TMCV",10,239.54,473.85,2395.44,4738.5,2343.07,97.81,-0.21,""
"TMPV",10,529.46,334.5,5294.57,3345,-1949.56,-36.82,-4.32,""
"UJJIVANSFB",6,44.82,72.39,268.92,434.34,165.42,61.51,1.64,""
"VIKASLIFE",1724,1.69,1.25,2916.86,2155,-761.86,-26.12,-0.79,""
