"Instrument","Qty.","Avg. cost","LTP","Invested","Cur. val","P&L","Net chg.","Day chg.",""
"ADANIGREEN",23,1132.44,1214.15,26046.2,27925.45,1879.25,7.22,1.27,""
"HDFCBANK",6,716.85,784.35,4301.1,4706.1,405,9.42,-1.94,""
"IRFC",27,146.85,105.06,3964.95,2836.62,-1128.33,-28.46,-0.72,""
"JSWENERGY",1,728.7,561.1,728.7,561.1,-167.6,-23,0.05,""
"NHPC",13,89.95,81.46,1169.35,1058.98,-110.37,-9.44,-1.42,""
"TATASTEEL",30,164.85,210.95,4945.5,6328.5,1383,27.96,-0.99,""
"TMCV",10,239.54,431.7,2395.44,4317,1921.57,80.22,-3.6,""
"TMPV",10,529.46,351.95,5294.57,3519.5,-1775.06,-33.53,-2.74,""
"UJJIVANSFB",6,44.82,58.9,268.92,353.4,84.48,31.41,0.7,""
"VIKASLIFE",159,4.94,1.62,785.36,257.58,-527.78,-67.2,-0.61,""
