"Instrument","Qty.","Avg. cost","LTP","Invested","Cur. val","P&L","Net chg.","Day chg.",""
"ADANIGREEN",23,1132.44,988.8,26046.2,22742.4,-3303.8,-12.68,-2.98,""
"HDFCBANK",6,716.85,946.6,4301.1,5679.6,1378.5,32.05,-0.27,""
"IRFC",27,146.85,124.3,3964.95,3356.1,-608.85,-15.36,-2.93,""
"JSWENERGY",1,728.7,499.7,728.7,499.7,-229,-31.43,-2.52,""
"NHPC",13,89.95,82.17,1169.35,1068.21,-101.14,-8.65,-1.78,""
"TATASTEEL",30,164.85,180.12,4945.5,5403.6,458.1,9.26,-2,""
"TMCV",10,239.54,435.2,2395.44,4352,1956.57,81.68,-0.13,""
"TMPV",10,529.46,359.4,5294.57,3594,-1700.57,-32.12,-1.09,""
"UJJIVANSFB",6,44.82,58.04,268.92,348.24,79.32,29.5,0.07,""
"VIKASLIFE",159,4.94,1.77,785.36,281.43,-503.93,-64.17,-2.21,""
