"Instrument","Qty.","Avg. cost","LTP","Invested","Cur. val","P&L","Net chg.","Day chg.",""
"ADANIGREEN",23,1132.44,950.5,26046.2,21861.5,-4184.7,-16.07,-4.73,""
"HDFCBANK",6,716.85,903.9,4301.1,5423.4,1122.3,26.09,-1.81,""
"IRFC",27,146.85,111.45,3964.95,3009.15,-955.8,-24.11,-1.85,""
"JPASSOCIAT",30,16.25,3.38,487.61,101.4,-386.21,-79.2,-3.98,""
"JSWENERGY",1,728.7,474.95,728.7,474.95,-253.75,-34.82,-0.96,""
"NHPC",13,89.95,75.47,1169.35,981.11,-188.24,-16.1,-1.35,""
"TATASTEEL",30,164.85,203.18,4945.5,6095.4,1149.9,23.25,-2.37,""
"TMCV",10,239.54,483.75,2395.44,4837.5,2442.07,101.95,-2.89,""
"TMPV",10,529.46,380.25,5294.57,3802.5,-1492.06,-28.18,-0.83,""
"UJJIVANSFB",6,44.82,61.24,268.92,367.44,98.52,36.64,-2.33,""
"VIKASLIFE",159,4.94,1.6,785.36,254.4,-530.96,-67.61,-0.62,""
