"Instrument","Qty.","Avg. cost","LTP","Invested","Cur. val","P&L","Net chg.","Day chg.",""
"ADANIGREEN",23,1132.44,947.35,26046.2,21789.05,-4257.15,-16.34,-1.93,""
"HDFCBANK",6,716.85,887.4,4301.1,5324.4,1023.3,23.79,-1.27,""
"IRFC",27,146.85,103.55,3964.95,2795.85,-1169.1,-29.49,0.29,""
"JPASSOCIAT",30,16.25,2.88,487.61,86.4,-401.21,-82.28,-2.04,""
"JSWENERGY",1,728.7,487.75,728.7,487.75,-240.95,-33.07,-2.19,""
"NHPC",13,89.95,75.36,1169.35,979.68,-189.67,-16.22,-0.5,""
"TATASTEEL",30,164.85,212.33,4945.5,6369.9,1424.4,28.8,-1.48,""
"TMCV",10,239.54,504.9,2395.44,5049,2653.56,110.78,2.76,""
"TMPV",10,529.46,383.15,5294.57,3831.5,-1463.07,-27.63,-2.17,""
"UJJIVANSFB",6,44.82,58.06,268.92,348.36,79.44,29.54,-5.75,""
"VIKASLIFE",159,4.94,1.48,785.36,235.32,-550.04,-70.04,0,""
