"Instrument","Qty.","Avg. cost","LTP","Invested","Cur. val","P&L","Net chg.","Day chg.",""
"CEATLTD",6,3695,3510.6,22170,21063.6,-1106.4,-4.99,-2.06,""
"DMART",7,4064,3847.4,28448,26931.8,-1516.2,-5.33,0.54,""
"IRFC",27,146.85,84.65,3964.95,2285.55,-1679.4,-42.36,-1.52,""
"JSWENERGY",1,728.7,536,728.7,536,-192.7,-26.44,-1.45,""
"NHPC",37,81.51,76.55,3015.91,2832.35,-183.56,-6.09,0.41,""
"RELIANCE",7,1280,1286,8960,9002,42,0.47,-1,""
"TATASTEEL",30,164.85,186.4,4945.5,5592,646.5,13.07,-1.09,""
"TMCV",10,239.54,472.75,2395.44,4727.5,2332.07,97.35,-2.3,""
"TMPV",10,529.46,316.15,5294.57,3161.5,-2133.07,-40.29,0.68,""
"UJJIVANSFB",6,44.82,68.54,268.92,411.24,142.32,52.92,-0.74,""
"VIKASLIFE",1724,1.69,1.35,2916.86,2327.4,-589.46,-20.21,1.5,""
