"Instrument","Qty.","Avg. cost","LTP","Invested","Cur. val","P&L","Net chg.","Day chg.",""
"ADANIGREEN",23,1132.44,921.1,26046.2,21185.3,-4860.9,-18.66,7.61,""
"HDFCBANK",6,716.85,771.2,4301.1,4627.2,326.1,7.58,2.68,""
"IRFC",27,146.85,92.72,3964.95,2503.44,-1461.51,-36.86,0.96,""
"JSWENERGY",1,728.7,496.7,728.7,496.7,-232,-31.84,1.14,""
"NHPC",13,89.95,76.16,1169.35,990.08,-179.27,-15.33,1.1,""
"TATASTEEL",30,164.85,196.1,4945.5,5883,937.5,18.96,1.01,""
"TMCV",10,239.54,391.2,2395.44,3912,1516.57,63.31,0.72,""
"TMPV",10,529.46,307.4,5294.57,3074,-2220.57,-41.94,1.35,""
"UJJIVANSFB",6,44.82,56.6,268.92,339.6,70.68,26.28,2.13,""
"VIKASLIFE",159,4.94,1.32,785.36,209.88,-575.48,-73.28,3.13,""
