"Instrument","Qty.","Avg. cost","LTP","Invested","Cur. val","P&L","Net chg.","Day chg.",""
"ADANIGREEN",23,1132.44,843.95,26046.2,19410.85,-6635.35,-25.48,4.6,""
"HDFCBANK",6,716.85,928.1,4301.1,5568.6,1267.5,29.47,0.65,""
"IRFC",27,146.85,114.95,3964.95,3103.65,-861.3,-21.72,1.23,""
"JPASSOCIAT",30,16.25,2.97,487.61,89.1,-398.51,-81.73,-3.88,""
"JSWENERGY",1,728.7,451.35,728.7,451.35,-277.35,-38.06,2.29,""
"NHPC",13,89.95,77.79,1169.35,1011.27,-158.08,-13.52,1.03,""
"TATASTEEL",30,164.85,188.6,4945.5,5658,712.5,14.41,1.62,""
"TMCV",10,239.54,443.5,2395.44,4435,2039.57,85.14,0.38,""
"TMPV",10,529.46,362.9,5294.57,3629,-1665.57,-31.46,5.3,""
"UJJIVANSFB",6,44.82,61.69,268.92,370.14,101.22,37.64,-1.17,""
"VIKASLIFE",159,4.94,1.67,785.36,265.53,-519.83,-66.19,-1.18,""
