"Instrument","Qty.","Avg. cost","LTP","Invested","Cur. val","P&L","Net chg.","Day chg.",""
"ADANIGREEN",23,1132.44,1446.9,26046.2,33278.7,7232.5,27.77,-1.93,""
"HDFCBANK",6,716.85,742.65,4301.1,4455.9,154.8,3.6,-0.28,""
"IRFC",27,146.85,96.3,3964.95,2600.1,-1364.85,-34.42,-1.28,""
"JSWENERGY",1,728.7,582.85,728.7,582.85,-145.85,-20.02,-2.16,""
"NHPC",13,89.95,77.2,1169.35,1003.6,-165.75,-14.17,-2.12,""
"TATASTEEL",30,164.85,210.55,4945.5,6316.5,1371,27.72,0.79,""
"TMCV",10,239.54,374.25,2395.44,3742.5,1347.07,56.23,-1.55,""
"TMPV",10,529.46,384.9,5294.57,3849,-1445.57,-27.3,-2.28,""
"UJJIVANSFB",6,44.82,53.87,268.92,323.22,54.3,20.19,-0.96,""
"VIKASLIFE",159,4.94,1.5,785.36,238.5,-546.86,-69.63,-1.96,""
