"Instrument","Qty.","Avg. cost","LTP","Invested","Cur. val","P&L","Net chg.","Day chg.",""
"ADANIGREEN",23,1132.44,970.35,26046.2,22318.05,-3728.15,-14.31,0.22,""
"HDFCBANK",6,716.85,923.85,4301.1,5543.1,1242,28.88,1.31,""
"IRFC",27,146.85,111.85,3964.95,3019.95,-945,-23.83,-0.04,""
"JPASSOCIAT",30,16.25,3.06,487.61,91.8,-395.81,-81.17,1.66,""
"JSWENERGY",1,728.7,486.4,728.7,486.4,-242.3,-33.25,-1.53,""
"NHPC",13,89.95,74.08,1169.35,963.04,-206.31,-17.64,-0.52,""
"TATASTEEL",30,164.85,208.14,4945.5,6244.2,1298.7,26.26,-0.11,""
"TMCV",10,239.54,479.9,2395.44,4799,2403.56,100.34,1.45,""
"TMPV",10,529.46,379.95,5294.57,3799.5,-1495.06,-28.24,0.52,""
"UJJIVANSFB",6,44.82,61.79,268.92,370.74,101.82,37.86,-1.18,""
"VIKASLIFE",159,4.94,1.58,785.36,251.22,-534.14,-68.01,-1.25,""
