"Instrument","Qty.","Avg. cost","LTP","Invested","Cur. val","P&L","Net chg.","Day chg.",""
"ADANIGREEN",23,1132.44,1373.1,26046.2,31581.3,5535.1,21.25,-0.34,""
"IRFC",27,146.85,89.05,3964.95,2404.35,-1560.6,-39.36,2.12,""
"JSWENERGY",1,728.7,545.5,728.7,545.5,-183.2,-25.14,0.22,""
"NHPC",13,89.95,77.9,1169.35,1012.7,-156.65,-13.4,-0.49,""
"RELIANCE",7,1280,1276,8960,8932,-28,-0.31,0.64,""
"TATASTEEL",30,164.85,187.3,4945.5,5619,673.5,13.62,2.52,""
"TMCV",10,239.54,411.4,2395.44,4114,1718.56,71.74,-1.27,""
"TMPV",10,529.46,329.8,5294.57,3298,-1996.56,-37.71,1.66,""
"UJJIVANSFB",6,44.82,70.37,268.92,422.22,153.3,57.01,0.36,""
"VIKASLIFE",824,2.16,1.29,1782.86,1062.96,-719.9,-40.38,0.78,""
