"Instrument","Qty.","Avg. cost","LTP","Invested","Cur. val","P&L","Net chg.","Day chg.",""
"ADANIGREEN",23,1132.44,1244.8,26046.2,28630.4,2584.2,9.92,-0.41,""
"HDFCBANK",6,716.85,779,4301.1,4674,372.9,8.67,-0.45,""
"IRFC",27,146.85,105.09,3964.95,2837.43,-1127.52,-28.44,-0.08,""
"JSWENERGY",1,728.7,560.4,728.7,560.4,-168.3,-23.1,-3.53,""
"NHPC",13,89.95,84.09,1169.35,1093.17,-76.18,-6.51,-1.51,""
"TATASTEEL",30,164.85,215.9,4945.5,6477,1531.5,30.97,0.4,""
"TMCV",10,239.54,416.95,2395.44,4169.5,1774.07,74.06,-0.32,""
"TMPV",10,529.46,352.7,5294.57,3527,-1767.56,-33.38,0.54,""
"UJJIVANSFB",6,44.82,56.87,268.92,341.22,72.3,26.89,1.41,""
"VIKASLIFE-BE",159,4.94,1.59,785.36,252.81,-532.55,-67.81,0,""
