"Instrument","Qty.","Avg. cost","LTP","Invested","Cur. val","P&L","Net chg.","Day chg.",""
"ADANIGREEN",0,1132.44,1332.3,0,0,0,17.65,-2.47,""
"CEATLTD",6,3695,3714,22170,22284,114,0.51,-1.06,""
"IRFC",27,146.85,88.26,3964.95,2383.02,-1581.93,-39.9,0.3,""
"JSWENERGY",1,728.7,555.85,728.7,555.85,-172.85,-23.72,-1.93,""
"NHPC",13,89.95,76.85,1169.35,999.05,-170.3,-14.56,-0.13,""
"RELIANCE",7,1280,1329,8960,9303,343,3.83,0.39,""
"TATASTEEL",30,164.85,185.45,4945.5,5563.5,618,12.5,-1.57,""
"TMCV",10,239.54,457.05,2395.44,4570.5,2175.07,90.8,1.56,""
"TMPV",10,529.46,342.3,5294.57,3423,-1871.56,-35.35,-1.92,""
"UJJIVANSFB",6,44.82,72.4,268.92,434.4,165.48,61.54,3.21,""
"VIKASLIFE",1724,1.69,1.25,2916.86,2155,-761.86,-26.12,-0.79,""
