"Instrument","Qty.","Avg. cost","LTP","Invested","Cur. val","P&L","Net chg.","Day chg.",""
"ADANIGREEN",23,1132.44,1028.2,26046.2,23648.6,-2397.6,-9.21,-1.85,""
"HDFCBANK",6,716.85,994.3,4301.1,5965.8,1664.7,38.7,-0.18,""
"IRFC",27,146.85,111.85,3964.95,3019.95,-945,-23.83,-1.28,""
"JSWENERGY",1,728.7,478.5,728.7,478.5,-250.2,-34.34,-1.63,""
"NHPC",13,89.95,75.92,1169.35,986.96,-182.39,-15.6,-1.71,""
"TATASTEEL",30,164.85,169.83,4945.5,5094.9,149.4,3.02,-1.76,""
"TMCV",10,239.54,387.35,2395.44,3873.5,1478.07,61.7,2.47,""
"TMPV",10,529.46,345.45,5294.57,3454.5,-1840.06,-34.75,-0.49,""
"UJJIVANSFB",6,44.82,53.93,268.92,323.58,54.66,20.33,-0.59,""
"VIKASLIFE",159,4.94,1.81,785.36,287.79,-497.57,-63.36,-1.09,""
