"Instrument","Qty.","Avg. cost","LTP","Invested","Cur. val","P&L","Net chg.","Day chg.",""
"ADANIGREEN",23,1132.44,1426.6,26046.2,32811.8,6765.6,25.98,-1.58,""
"HDFCBANK",6,716.85,753.65,4301.1,4521.9,220.8,5.13,0.66,""
"IRFC",27,146.85,95.78,3964.95,2586.06,-1378.89,-34.78,-0.97,""
"JSWENERGY",1,728.7,580.25,728.7,580.25,-148.45,-20.37,-1.44,""
"NHPC",13,89.95,75.1,1169.35,976.3,-193.05,-16.51,3.89,""
"TATASTEEL",30,164.85,211.8,4945.5,6354,1408.5,28.48,0.55,""
"TMCV",10,239.54,373.95,2395.44,3739.5,1344.07,56.11,0.92,""
"TMPV",10,529.46,398.05,5294.57,3980.5,-1314.06,-24.82,1.97,""
"UJJIVANSFB",6,44.82,53.76,268.92,322.56,53.64,19.95,1.07,""
"VIKASLIFE",159,4.94,1.48,785.36,235.32,-550.04,-70.04,0,""
