Instrument,Qty.,Avg. cost,LTP,Invested,Cur. val,P&L,Net chg.,Day chg.
ADANIGREEN,23,1132.44,982.65,26046.2,22600.95,-3445.25,-13.23,1.11
HDFCBANK,6,716.85,937.25,4301.1,5623.5,1322.4,30.75,-0.41
IRFC,27,146.85,115.07,3964.95,3106.89,-858.06,-21.64,0.47
JPASSOCIAT,30,16.25,3.16,487.61,94.8,-392.81,-80.56,-4.82
JSWENERGY,1,728.7,479.9,728.7,479.9,-248.8,-34.14,1.39
NHPC,13,89.95,78.89,1169.35,1025.57,-143.78,-12.3,-0.68
TATASTEEL,30,164.85,202,4945.5,6060,1114.5,22.54,2.51
TMCV,10,239.54,466.8,2395.44,4668,2272.57,94.87,1.87
TMPV,10,529.46,377.3,5294.57,3773,-1521.56,-28.74,2
UJJIVANSFB,6,44.82,64.91,268.92,389.46,120.54,44.82,2.93
VIKASLIFE,159,4.94,1.63,785.36,259.17,-526.19,-67,0.62
