"Instrument","Qty.","Avg. cost","LTP","Invested","Cur. val","P&L","Net chg.","Day chg.",""
"ADANIGREEN",23,1132.44,1555.4,26046.2,35774.2,9728,37.35,-3.06,""
"HDFCBANK",6,716.85,815.45,4301.1,4892.7,591.6,13.75,0.75,""
"IRFC",27,146.85,88.81,3964.95,2397.87,-1567.08,-39.52,0.09,""
"JSWENERGY",1,728.7,549.4,728.7,549.4,-179.3,-24.61,-1.41,""
"NHPC",13,89.95,79.09,1169.35,1028.17,-141.18,-12.07,0.41,""
"TATASTEEL",30,164.85,185.25,4945.5,5557.5,612,12.37,-1.65,""
"TMCV",10,239.54,423.65,2395.44,4236.5,1841.06,76.86,1.41,""
"TMPV",10,529.46,333,5294.57,3330,-1964.56,-37.11,-0.1,""
"UJJIVANSFB",6,44.82,65.44,268.92,392.64,123.72,46.01,0.45,""
"VIKASLIFE",824,2.16,1.39,1782.86,1145.36,-637.5,-35.76,0,""
