"Instrument","Qty.","Avg. cost","LTP","Invested","Cur. val","P&L","Net chg.","Day chg.",""
"ADANIGREEN",23,1132.44,1229.7,26046.2,28283.1,2236.9,8.59,-0.49,""
"HDFCBANK",6,716.85,789.9,4301.1,4739.4,438.3,10.19,0.64,""
"IRFC",27,146.85,105.57,3964.95,2850.39,-1114.56,-28.11,1.59,""
"JSWENERGY",1,728.7,573.7,728.7,573.7,-155,-21.27,5.25,""
"NHPC",13,89.95,83.23,1169.35,1081.99,-87.36,-7.47,3.19,""
"TATASTEEL",30,164.85,213.27,4945.5,6398.1,1452.6,29.37,1.52,""
"TMCV",10,239.54,420.7,2395.44,4207,1811.57,75.63,-0.98,""
"TMPV",10,529.46,354.35,5294.57,3543.5,-1751.06,-33.07,1.1,""
"UJJIVANSFB",6,44.82,57.52,268.92,345.12,76.2,28.34,1.29,""
"VIKASLIFE",159,4.94,1.6,785.36,254.4,-530.96,-67.61,-0.62,""
