"Instrument","Qty.","Avg. cost","LTP","Invested","Cur. val","P&L","Net chg.","Day chg.",""
"ADANIGREEN",23,1132.44,1526.6,26046.2,35111.8,9065.6,34.81,0.08,""
"HDFCBANK",6,716.85,796.3,4301.1,4777.8,476.7,11.08,0.39,""
"IRFC",27,146.85,91.78,3964.95,2478.06,-1486.89,-37.5,-0.81,""
"JSWENERGY",1,728.7,573.5,728.7,573.5,-155.2,-21.3,-0.16,""
"NHPC",13,89.95,79.4,1169.35,1032.2,-137.15,-11.73,0.11,""
"TATASTEEL",30,164.85,188.71,4945.5,5661.3,715.8,14.47,-0.76,""
"TMCV",10,239.54,431.9,2395.44,4319,1923.56,80.3,4.98,""
"TMPV",10,529.46,353.2,5294.57,3532,-1762.56,-33.29,1,""
"UJJIVANSFB",6,44.82,56.14,268.92,336.84,67.92,25.26,-1.89,""
"VIKASLIFE",824,2.16,1.46,1782.86,1203.04,-579.82,-32.52,-2.01,""
