"Instrument","Qty.","Avg. cost","LTP","Invested","Cur. val","P&L","Net chg.","Day chg.",""
"ADANIGREEN",23,1132.44,1486.8,26046.2,34196.4,8150.2,31.29,-1.19,""
"HDFCBANK",6,716.85,817.7,4301.1,4906.2,605.1,14.07,0.89,""
"IRFC",27,146.85,88.13,3964.95,2379.51,-1585.44,-39.99,0.72,""
"JSWENERGY",1,728.7,533.2,728.7,533.2,-195.5,-26.83,-0.7,""
"NHPC",13,89.95,78.61,1169.35,1021.93,-147.42,-12.61,-0.25,""
"TATASTEEL",30,164.85,187.91,4945.5,5637.3,691.8,13.99,-0.15,""
"TMCV",10,239.54,419.85,2395.44,4198.5,1803.07,75.27,0.74,""
"TMPV",10,529.46,331.7,5294.57,3317,-1977.56,-37.35,-0.14,""
"UJJIVANSFB",6,44.82,62.52,268.92,375.12,106.2,39.49,4.74,""
"VIKASLIFE",824,2.16,1.4,1782.86,1153.6,-629.26,-35.29,-1.41,""
