"Instrument","Qty.","Avg. cost","LTP","Invested","Cur. val","P&L","Net chg.","Day chg.",""
"ADANIGREEN",23,1132.44,1038.8,26046.2,23892.4,-2153.8,-8.27,1.26,""
"HDFCBANK",6,716.85,1001.6,4301.1,6009.6,1708.5,39.72,1.05,""
"IRFC",27,146.85,128.48,3964.95,3468.96,-495.99,-12.51,2.14,""
"JSWENERGY",1,728.7,510.65,728.7,510.65,-218.05,-29.92,1.72,""
"NHPC",13,89.95,83.62,1169.35,1087.06,-82.29,-7.04,4.91,""
"TATASTEEL",30,164.85,182.88,4945.5,5486.4,540.9,10.94,0.54,""
"TMCV",10,239.54,442.25,2395.44,4422.5,2027.07,84.62,3.39,""
"TMPV",10,529.46,370.35,5294.57,3703.5,-1591.06,-30.05,0.76,""
"UJJIVANSFB",6,44.82,55.71,268.92,334.26,65.34,24.3,4.33,""
"VIKASLIFE",159,4.94,1.93,785.36,306.87,-478.49,-60.93,7.82,""
