"Instrument","Qty.","Avg. cost","LTP","Invested","Cur. val","P&L","Net chg.","Day chg.",""
"ADANIGREEN",23,1132.44,1018.1,26046.2,23416.3,-2629.9,-10.1,0.31,""
"HDFCBANK",6,716.85,992.1,4301.1,5952.6,1651.5,38.4,-0.51,""
"IRFC",27,146.85,133.64,3964.95,3608.28,-356.67,-9,10,""
"JSWENERGY",1,728.7,479.4,728.7,479.4,-249.3,-34.21,-1.02,""
"NHPC",13,89.95,78.36,1169.35,1018.68,-150.67,-12.88,0.71,""
"TATASTEEL",30,164.85,169.12,4945.5,5073.6,128.1,2.59,-0.56,""
"TMCV",10,239.54,408.65,2395.44,4086.5,1691.06,70.6,-0.05,""
"TMPV",10,529.46,358.8,5294.57,3588,-1706.56,-32.23,-0.14,""
"UJJIVANSFB",6,44.82,53.03,268.92,318.18,49.26,18.32,0.06,""
"VIKASLIFE",159,4.94,1.83,785.36,290.97,-494.39,-62.95,-1.08,""
