"Instrument","Qty.","Avg. cost","LTP","Invested","Cur. val","P&L","Net chg.","Day chg.",""
"ADANIGREEN",23,1132.44,772.1,26046.2,17758.3,-8287.9,-31.82,-14.63,""
"HDFCBANK",6,716.85,916.25,4301.1,5497.5,1196.4,27.82,-0.34,""
"IRFC",27,146.85,114.15,3964.95,3082.05,-882.9,-22.27,-2.48,""
"JSWENERGY",1,728.7,482.2,728.7,482.2,-246.5,-33.83,-2.06,""
"NHPC",13,89.95,75.3,1169.35,978.9,-190.45,-16.29,-2.79,""
"TATASTEEL",30,164.85,187.55,4945.5,5626.5,681,13.77,-0.92,""
"TMCV",10,239.54,448.7,2395.44,4487,2091.57,87.31,0.85,""
"TMPV",10,529.46,344.2,5294.57,3442,-1852.56,-34.99,-0.89,""
"UJJIVANSFB",6,44.82,63.08,268.92,378.48,109.56,40.74,1.71,""
"VIKASLIFE",159,4.94,1.67,785.36,265.53,-519.83,-66.19,-1.18,""
